id,run_id,window_start,window_end,source,check_name,status,total_rows,failed_rows,details_json,created_ts
1,263b2a40-370e-416f-9659-9819155563ac,2026-02-28 13:57:57.413944+00:00,2026-02-28 14:02:57.413944+00:00,stock,required_fields_not_null,PASS,482,0,"{'missing_rate': 0.0, 'required_cols': ['event_id', 'event_ts', 'key', 'value']}",2026-02-28 14:02:57.432967+00:00
2,263b2a40-370e-416f-9659-9819155563ac,2026-02-28 13:57:57.413944+00:00,2026-02-28 14:02:57.413944+00:00,stock,duplicate_event_id_rate,PASS,482,0,{'duplicate_rate': 0.0},2026-02-28 14:02:57.432967+00:00
3,263b2a40-370e-416f-9659-9819155563ac,2026-02-28 13:57:57.413944+00:00,2026-02-28 14:02:57.413944+00:00,stock,late_events_over_30s_rate,FAIL,482,106,"{'late_rate': 0.21991701244813278, 'threshold_seconds': 30, 'lateness_p95_seconds': 46.247308749999995}",2026-02-28 14:02:57.432967+00:00
4,263b2a40-370e-416f-9659-9819155563ac,2026-02-28 13:57:57.413944+00:00,2026-02-28 14:02:57.413944+00:00,stock,stock_price_range,PASS,482,0,"{'bad_rate': 0.0, 'max_allowed': 5000, 'min_allowed': 0}",2026-02-28 14:02:57.432967+00:00
5,263b2a40-370e-416f-9659-9819155563ac,2026-02-28 13:57:57.413944+00:00,2026-02-28 14:02:57.413944+00:00,stock,unique_key_count_sanity,PASS,482,0,"{'warn_if_gt': 200, 'unique_keys': 6}",2026-02-28 14:02:57.432967+00:00
6,263b2a40-370e-416f-9659-9819155563ac,2026-02-28 13:57:57.413944+00:00,2026-02-28 14:02:57.413944+00:00,stock,dq_overall_summary,FAIL,482,0,"{'fail': 1, 'note': 'Roll-up score across DQ checks for last 5 minutes', 'pass': 4, 'warn': 0, 'overall_score_0_1': 0.8, 'overall_score_0_100': 80}",2026-02-28 14:02:57.432967+00:00
7,5ebf4f76-3170-4db9-b42d-469c0a0d7ced,2026-02-28 13:57:57.454897+00:00,2026-02-28 14:02:57.454897+00:00,social,required_fields_not_null,PASS,241,0,"{'missing_rate': 0.0, 'required_cols': ['event_id', 'event_ts', 'key', 'value']}",2026-02-28 14:02:57.463888+00:00
8,5ebf4f76-3170-4db9-b42d-469c0a0d7ced,2026-02-28 13:57:57.454897+00:00,2026-02-28 14:02:57.454897+00:00,social,duplicate_event_id_rate,PASS,241,0,{'duplicate_rate': 0.0},2026-02-28 14:02:57.463888+00:00
9,5ebf4f76-3170-4db9-b42d-469c0a0d7ced,2026-02-28 13:57:57.454897+00:00,2026-02-28 14:02:57.454897+00:00,social,late_events_over_30s_rate,PASS,241,0,"{'late_rate': 0.0, 'threshold_seconds': 30, 'lateness_p95_seconds': 23.533613}",2026-02-28 14:02:57.463888+00:00
10,5ebf4f76-3170-4db9-b42d-469c0a0d7ced,2026-02-28 13:57:57.454897+00:00,2026-02-28 14:02:57.454897+00:00,social,social_mentions_range,PASS,241,0,"{'bad_rate': 0.0, 'max_allowed': 100000, 'min_allowed': 0}",2026-02-28 14:02:57.463888+00:00
11,5ebf4f76-3170-4db9-b42d-469c0a0d7ced,2026-02-28 13:57:57.454897+00:00,2026-02-28 14:02:57.454897+00:00,social,unique_key_count_sanity,PASS,241,0,"{'warn_if_gt': 200, 'unique_keys': 10}",2026-02-28 14:02:57.463888+00:00
12,5ebf4f76-3170-4db9-b42d-469c0a0d7ced,2026-02-28 13:57:57.454897+00:00,2026-02-28 14:02:57.454897+00:00,social,dq_overall_summary,PASS,241,0,"{'fail': 0, 'note': 'Roll-up score across DQ checks for last 5 minutes', 'pass': 5, 'warn': 0, 'overall_score_0_1': 1.0, 'overall_score_0_100': 100}",2026-02-28 14:02:57.463888+00:00
