window_start,source,key,stream_count,batch_count,count_diff,count_diff_pct,stream_avg,batch_avg,avg_diff,avg_diff_pct,stream_min,batch_min,min_diff,stream_max,batch_max,max_diff,status,compared_ts,root_cause_tags,details_json
2026-02-28 14:07:00+00:00,stock,AMZN,47,47.0,0,0.0,173.43489361702123,173.43489361702123,0.0,0.0,105.26,105.26,0.0,176.47,176.47,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,['near_real_time_window'],"{'dq_last_ts': '2026-02-28T14:08:46.251104+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:06:00+00:00,social,Python,28,28.0,0,0.0,170.75,170.75,0.0,0.0,53.0,53.0,0.0,351.0,351.0,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:07:00+00:00,social,Python,20,20.0,0,0.0,180.45,180.45,0.0,0.0,24.0,24.0,0.0,393.0,393.0,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,['near_real_time_window'],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:01:00+00:00,social,AI,5,5.0,0,0.0,210.0,210.0,0.0,0.0,98.0,98.0,0.0,354.0,354.0,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:06:00+00:00,social,Bollywood,22,22.0,0,0.0,350.09090909090907,350.09090909090907,0.0,0.0,50.0,50.0,0.0,3765.0,3765.0,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:01:00+00:00,stock,MSFT,33,33.0,0,0.0,409.8672727272728,409.8672727272728,0.0,0.0,405.95,405.95,0.0,413.5,413.5,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.251104+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:05:00+00:00,social,Python,26,26.0,0,0.0,215.15384615384616,215.15384615384616,0.0,0.0,80.0,80.0,0.0,523.0,523.0,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:01:00+00:00,stock,TSLA,32,32.0,0,0.0,209.89906249999999,209.89906249999999,0.0,0.0,207.81,207.81,0.0,212.43,212.43,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.251104+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:03:00+00:00,social,Crypto,21,21.0,0,0.0,205.47619047619048,205.47619047619048,0.0,0.0,92.0,92.0,0.0,318.0,318.0,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:08:00+00:00,social,Startups,18,8.0,10,125.0,181.16666666666666,138.625,42.54166666666666,30.688307784791096,47.0,47.0,0.0,401.0,246.0,155.0,FAIL,2026-02-28 14:08:49.643711+00:00,['near_real_time_window'],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:06:00+00:00,stock,AAPL,47,47.0,0,0.0,185.0840425531915,185.0840425531915,0.0,0.0,183.76,183.76,0.0,186.76,186.76,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.251104+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:06:00+00:00,social,AI,23,23.0,0,0.0,494.2173913043478,494.2173913043478,0.0,0.0,79.0,79.0,0.0,3750.0,3750.0,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:08:00+00:00,social,Space,12,5.0,7,140.0,237.25,206.0,31.25,15.169902912621358,58.0,147.0,-89.0,394.0,290.0,104.0,FAIL,2026-02-28 14:08:49.643711+00:00,['near_real_time_window'],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:03:00+00:00,stock,TSLA,52,52.0,0,0.0,210.00403846153847,210.00403846153847,0.0,0.0,207.91,207.91,0.0,212.59,212.59,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.251104+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:04:00+00:00,social,Space,23,23.0,0,0.0,191.95652173913044,191.95652173913044,0.0,0.0,68.0,68.0,0.0,338.0,338.0,0.0,MATCH,2026-02-28 14:08:49.643711+00:00,[],"{'dq_last_ts': '2026-02-28T14:08:46.288926+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
2026-02-28 14:08:00+00:00,stock,AAPL,40,18.0,22,122.22222222222223,184.90749999999997,184.95333333333326,-0.04583333333329165,-0.024781025844334604,183.82,183.84,-0.020000000000010232,186.17,185.89,0.28000000000000114,FAIL,2026-02-28 14:08:49.643711+00:00,['near_real_time_window'],"{'dq_last_ts': '2026-02-28T14:08:46.251104+00:00', 'thresholds': {'fail_pct': 5.0, 'warn_pct': 1.0}, 'dq_dup_status': 'PASS', 'dq_late_status': 'PASS'}"
