id,alert_id,source,key,event_id,event_ts,window_start,window_end,metric_name,actual_value,expected_value,score,anomaly_type,details_json,created_ts,method,model_version,severity_score
1,a9c85bea-0ad6-4caa-b3a8-0c0fef443396,stock,AAPL,720d7b03-812e-4b6c-8c1d-b171d6e07eb6,2026-03-11 14:45:43.455486+00:00,2026-03-11 14:40:43.455486+00:00,2026-03-11 14:45:43.455486+00:00,price,297.22,195.97,0.060912986796294866,spike,"{'method': 'IsolationForest', 'contamination': 0.01, 'feature_preview': {'delta': 111.86000000000001, 'z_approx': 2.8453058811001206, 'roll_std_10': 35.58492627191714}, 'threshold_value': 0.04931689710864087, 'threshold_percentile': 98}",2026-03-11 14:45:56.637978+00:00,IFOR,v2,
2,057aec64-a787-438e-92e0-3f26fd251f53,stock,AMZN,3e597431-1339-4012-9f62-171bfb1847d6,2026-03-11 14:45:46.066773+00:00,2026-03-11 14:40:46.066773+00:00,2026-03-11 14:45:46.066773+00:00,price,175.88,174.825,-0.3079680071481964,spike,"{'method': 'IsolationForest', 'contamination': 0.01, 'feature_preview': {'delta': 1.8199999999999932, 'z_approx': 1.6919449508320654, 'roll_std_10': 0.6235427455728855}, 'threshold_value': -0.3171710228251563, 'threshold_percentile': 98}",2026-03-11 14:45:56.637978+00:00,IFOR,v2,
3,f61e602e-7835-4b98-b301-907344b57731,stock,TSLA,f5684581-edfa-482c-a8c1-fec73ed24eca,2026-03-11 14:45:32.804391+00:00,2026-03-11 14:40:32.804391+00:00,2026-03-11 14:45:32.804391+00:00,price,208.26,222.246,-0.049252931735232375,drop,"{'method': 'IsolationForest', 'contamination': 0.01, 'feature_preview': {'delta': -2.210000000000008, 'z_approx': -0.347253145526383, 'roll_std_10': 40.276093046758064}, 'threshold_value': -0.049558697035214476, 'threshold_percentile': 98}",2026-03-11 14:45:56.637978+00:00,IFOR,v2,
4,f74e6b7f-c57c-41b1-bf78-c553f79af8bb,stock,NVDA,ea83dbb0-e997-4a4b-a5d9-3b2058575b33,2026-03-11 14:45:45.263610+00:00,2026-03-11 14:40:45.263610+00:00,2026-03-11 14:45:45.263610+00:00,price,711.17,717.714,-0.1989279050745999,drop,"{'method': 'IsolationForest', 'contamination': 0.01, 'feature_preview': {'delta': -7.300000000000068, 'z_approx': -1.8309223987588692, 'roll_std_10': 3.574154756332704}, 'threshold_value': -0.22668595580470582, 'threshold_percentile': 98}",2026-03-11 14:45:56.637978+00:00,IFOR,v2,
5,d8dd15c5-55c7-49f3-b045-8bd8e10f02da,stock,GOOGL,9cdc89b9-570d-440b-b88c-8d19b665b363,2026-03-11 14:45:37.226856+00:00,2026-03-11 14:40:37.226856+00:00,2026-03-11 14:45:37.226856+00:00,price,148.64,150.14499999999998,-0.21180611652701864,drop,"{'method': 'IsolationForest', 'contamination': 0.01, 'feature_preview': {'delta': -2.410000000000025, 'z_approx': -2.143532980644973, 'roll_std_10': 0.7021118935838123}, 'threshold_value': -0.23410952368674182, 'threshold_percentile': 98}",2026-03-11 14:45:56.637978+00:00,IFOR,v2,
6,fdd874ed-d436-4900-b0d5-ad60cdd8ad38,stock,MSFT,db198d6b-000c-49e5-a211-e43580a59afc,2026-03-11 14:45:36.423304+00:00,2026-03-11 14:40:36.423304+00:00,2026-03-11 14:45:36.423304+00:00,price,246.46,393.95300000000003,0.011684850246608591,drop,"{'method': 'IsolationForest', 'contamination': 0.01, 'feature_preview': {'delta': -163.67, 'z_approx': -2.84505298391652, 'roll_std_10': 51.841916770548195}, 'threshold_value': -0.004363484769023634, 'threshold_percentile': 98}",2026-03-11 14:45:56.637978+00:00,IFOR,v2,
7,f5d7de12-9983-4528-95f1-f47f57cf8515,social,Bollywood,45f75aac-18d6-473e-994e-10bb240c62ca,2026-03-11 14:45:38.635538+00:00,2026-03-11 14:40:38.635538+00:00,2026-03-11 14:45:38.635538+00:00,mentions,429.0,222.7,-0.17216870680606944,spike,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': 381.0, 'z_approx': 1.6905034897663398, 'roll_std_10': 122.03464899591225}, 'threshold_value': -0.18986734312126693, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
8,a5da1eee-b226-44d3-9403-770948313eee,social,AI,28abc891-ade2-4446-bd47-7b652f5f680b,2026-03-11 14:45:07.934703+00:00,2026-03-11 14:40:07.934703+00:00,2026-03-11 14:45:07.934703+00:00,mentions,366.0,220.0,-0.1844810996424805,spike,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': 268.0, 'z_approx': 1.6798015498991568, 'roll_std_10': 86.91502874774987}, 'threshold_value': -0.20501035351616373, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
9,c2fabbd1-a3ab-46a3-aa4e-c8ad0037a914,social,Startups,51efad17-9d19-44c1-a460-c12d9089885c,2026-03-11 14:45:34.721643+00:00,2026-03-11 14:40:34.721643+00:00,2026-03-11 14:45:34.721643+00:00,mentions,273.0,181.4,-0.16493857666436335,spike,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': 97.0, 'z_approx': 2.343638635304491, 'roll_std_10': 39.08452379139888}, 'threshold_value': -0.17062440876599577, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
10,a1305ffb-2522-4ac8-8dee-0c5ca3872f64,social,Gaming,367b2bcd-a562-4b8d-8661-17288de7ca54,2026-03-11 14:45:30.207994+00:00,2026-03-11 14:40:30.207994+00:00,2026-03-11 14:45:30.207994+00:00,mentions,61.0,222.2,-0.14502981954849714,drop,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': -157.0, 'z_approx': -2.261304785060373, 'roll_std_10': 71.28627731431445}, 'threshold_value': -0.15072026693211407, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
11,35c72c18-e611-4d4a-84af-629f72804bc0,social,Crypto,2b63be21-f38f-4046-a197-531edb910904,2026-03-11 14:45:23.893961+00:00,2026-03-11 14:40:23.893961+00:00,2026-03-11 14:45:23.893961+00:00,mentions,384.0,187.3,-0.12148570771126599,spike,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': 326.0, 'z_approx': 1.7165961651535973, 'roll_std_10': 114.58723023676318}, 'threshold_value': -0.12805249473550043, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
12,a1d518cb-d6c1-4b33-bf7c-b5e43a485c64,social,Python,509ea8d1-a006-4184-a622-f38717c3aa42,2026-03-11 14:44:57.703519+00:00,2026-03-11 14:39:57.703519+00:00,2026-03-11 14:44:57.703519+00:00,mentions,378.0,187.0,-0.07216017879488124,spike,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': 216.0, 'z_approx': 2.0082406081575623, 'roll_std_10': 95.1081256021562}, 'threshold_value': -0.0803953922363235, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
13,b0f4f5da-2c86-4542-9ca0-846ee2e923ff,social,Climate,c172a4d7-4f25-4271-bd36-cfbc1b1c9b99,2026-03-11 14:45:13.050552+00:00,2026-03-11 14:40:13.050552+00:00,2026-03-11 14:45:13.050552+00:00,mentions,3660.0,503.8,0.14158301876216117,spike,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': 3424.0, 'z_approx': 2.838643564442803, 'roll_std_10': 1111.8690770250087}, 'threshold_value': 0.12231613469067625, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
14,55378bb0-61e8-4111-bd5e-4e5b36239b87,social,Elections,3f263689-66cc-4e7e-9892-d081c16b431d,2026-03-11 14:45:34.420656+00:00,2026-03-11 14:40:34.420656+00:00,2026-03-11 14:45:34.420656+00:00,mentions,86.0,221.3,-0.2302509193184975,drop,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': -181.0, 'z_approx': -2.0448920629901837, 'roll_std_10': 66.16486143633172}, 'threshold_value': -0.23306034029783412, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
15,657d0360-bc8f-41f4-a44f-767df1a8c080,social,Cricket,67e4167b-6b98-4cd3-9674-2c6119066f82,2026-03-11 14:45:25.096227+00:00,2026-03-11 14:40:25.096227+00:00,2026-03-11 14:45:25.096227+00:00,mentions,355.0,240.6,-0.008075457714043166,spike,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': 289.0, 'z_approx': 1.0698890623713757, 'roll_std_10': 106.92697404199644}, 'threshold_value': -0.014583442907334616, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
16,28e41db8-6164-47d4-b5ed-be5992ea5759,social,Space,7c52ea87-0511-4f4a-822c-52649cc43d69,2026-03-11 14:45:35.022606+00:00,2026-03-11 14:40:35.022606+00:00,2026-03-11 14:45:35.022606+00:00,mentions,332.0,204.7,-0.15019408139603452,spike,"{'method': 'IsolationForest', 'contamination': 0.02, 'feature_preview': {'delta': 196.0, 'z_approx': 2.2852249811570626, 'roll_std_10': 55.70567495527073}, 'threshold_value': -0.15746584872624278, 'threshold_percentile': 98}",2026-03-11 14:45:59.069002+00:00,IFOR,v2,
